File_name,Lips_distance,Euler's_angles,Expression,Center,Bounding_box
extraction/masks/Laurine31.jpg,26.0,[ -11.191991   -5.00143  -178.80754 ],"[2.9947392e-05 1.2024689e-05 2.1441805e-05 9.9981958e-01 1.6887374e-05
 7.7781631e-05 2.2453360e-05]",[ 1.1411133  -0.01503909],0.4
extraction/masks/Laurine310.jpg,4.0,[   5.572223   22.3724   -176.95807 ],"[3.9836364e-03 2.2162129e-04 7.8505702e-02 1.7992449e-01 4.5629716e-03
 2.5843314e-03 7.3021716e-01]",[ 1.156543   -0.03662109],0.4
extraction/masks/Laurine311.jpg,5.3851647,[  2.784261 -11.52778  175.00198 ],"[1.2227648e-02 3.3559330e-04 2.4730782e-01 6.2210984e-03 1.1182215e-02
 5.4646996e-03 7.1726096e-01]",[ 0.76772463 -0.01359862],0.4
extraction/masks/Laurine312.jpg,3.0,[ -3.2814415  -8.053999  178.90091  ],"[4.4907883e-05 1.1600036e-05 1.3482867e-05 9.9871290e-01 2.6558822e-05
 1.4033349e-04 1.0502065e-03]",[ 0.5101807  -0.07041013],0.4
extraction/masks/Laurine313.jpg,7.0,[  -6.9954515   14.735798  -178.53238  ],"[4.3862296e-04 1.4146397e-04 2.4327447e-03 6.0508442e-01 1.3308664e-03
 1.9901199e-03 3.8858175e-01]",[ 0.46442872 -0.24960938],0.4
extraction/masks/Laurine314.jpg,22.36068,[  -7.5667186   18.984257  -179.0933   ],"[3.95760944e-05 1.22724896e-05 8.48667241e-06 9.99818742e-01
 1.47986075e-05 6.07431793e-05 4.54004439e-05]",[ 0.6642822  -0.24221191],0.4
extraction/masks/Laurine315.jpg,3.0,[   1.7125582   16.838017  -176.1912   ],"[9.2472933e-04 9.6317664e-05 4.5665517e-03 1.5667973e-01 2.0422530e-03
 1.4385108e-03 8.3425188e-01]",[0.8707032  0.10991216],0.4
extraction/masks/Laurine316.jpg,3.0,[   5.445471    7.658612 -178.61325 ],"[5.2213675e-04 9.2492097e-05 2.4606530e-01 3.0455170e-03 7.9466216e-02
 2.4910537e-03 6.6831726e-01]",[ 0.66552734 -0.07067871],0.4
extraction/masks/Laurine317.jpg,8.0,[ -26.116455  -35.47103  -176.09956 ],"[4.0490506e-04 1.9555709e-04 3.6708280e-02 2.1543240e-02 8.6382598e-02
 4.9455613e-03 8.4981990e-01]",[0.5548096  0.03015137],0.4
extraction/masks/Laurine318.jpg,3.0,[ -15.231428  -20.729649 -179.74944 ],"[3.9349448e-05 1.5378253e-05 2.5743489e-05 9.9730337e-01 6.7989553e-05
 1.9941376e-04 2.3487364e-03]",[0.5237061  0.05520022],0.4
extraction/masks/Laurine319.jpg,3.0,[  4.20295  -13.038809 179.73682 ],"[2.5300771e-05 8.3618761e-06 1.4451581e-05 9.9967968e-01 5.4119704e-05
 3.9248345e-05 1.7884295e-04]",[ 0.8895019  -0.13498536],0.4
extraction/masks/Laurine32.jpg,4.0,[ -26.19375   -16.036194 -178.67418 ],"[1.3095082e-05 4.9962709e-06 1.2068104e-05 9.9987781e-01 1.3878200e-05
 3.8487924e-05 3.9654977e-05]",[1.0575683  0.02929688],0.4
extraction/masks/Laurine320.jpg,4.0,[ -14.843016  -11.554348 -177.58093 ],"[7.4116404e-05 1.0887021e-04 5.2387319e-03 9.8710316e-01 3.5436603e-04
 5.9347325e-03 1.1860485e-03]",[0.8341553  0.13972169],0.4
extraction/masks/Laurine321.jpg,6.0,[ -28.489742    -9.2622175 -178.00862  ],"[2.8668725e-04 2.4875841e-04 5.1104780e-03 9.1665465e-01 2.8736629e-02
 8.6512882e-04 4.8097637e-02]",[0.8142822  0.16535646],0.4
extraction/masks/Laurine33.jpg,9.848858,[  -9.135461    -2.4718213 -179.79643  ],"[1.3584933e-04 1.3114692e-05 5.3187978e-04 5.0558751e-03 9.9266821e-04
 7.5375539e-04 9.9251693e-01]",[0.7962158  0.18513185],0.4
extraction/masks/Laurine34.jpg,3.0,[   4.384685     6.8530064 -179.76462  ],"[4.1971484e-04 2.1103611e-04 1.5523162e-01 3.2845733e-03 1.0303097e-01
 2.5817841e-02 7.1200424e-01]",[0.7952149  0.28171384],0.4
