File_name,Lips_distance,Euler's_angles,Expression
extraction/extracted_faces/Laurine4/0000013.jpg,6.0,[ -12.758098    5.095882 -178.99069 ],"[0.25503337 0.00133204 0.06657301 0.0015675  0.6596476  0.00134854
 0.01449789]"
extraction/extracted_faces/Laurine4/00000131.jpg,7.615773,[ -21.924017     4.5129776 -177.52417  ],"[9.3930110e-04 6.7624293e-05 8.3538223e-05 8.5512030e-01 1.6969888e-04
 5.3701928e-04 1.4308256e-01]"
extraction/extracted_faces/Laurine4/00000132.jpg,6.0,[  -1.213673    -2.9144895 -178.82228  ],"[1.8389538e-02 2.0677938e-04 3.2361166e-03 6.0851620e-05 9.7622788e-01
 1.0240521e-04 1.7763871e-03]"
extraction/extracted_faces/Laurine4/00000133.jpg,4.0,[  -8.886961      0.19862247 -179.07295   ],"[5.7934009e-04 9.4824303e-05 1.5614661e-04 9.8098665e-01 3.5698817e-03
 1.3933243e-04 1.4473824e-02]"
extraction/extracted_faces/Laurine4/00000134.jpg,7.0,[  -6.06774    -0.573652 -179.05403 ],"[3.4089258e-05 9.7026132e-06 9.7564489e-06 9.9929392e-01 6.8622845e-05
 4.4884506e-05 5.3900533e-04]"
extraction/extracted_faces/Laurine4/00000135.jpg,3.0,[ -15.315403    -1.4490944 -179.62631  ],"[3.10021744e-04 5.86162605e-05 5.57179519e-05 9.75720406e-01
 1.76557247e-03 1.03015525e-04 2.19866373e-02]"
extraction/extracted_faces/Laurine4/00000136.jpg,5.0,[  -6.874535  -17.07067  -179.48721 ],"[9.7210026e-01 2.4056681e-04 1.8161014e-04 1.0498506e-04 2.6921600e-02
 3.6124289e-05 4.1479280e-04]"
extraction/extracted_faces/Laurine4/00000137.jpg,3.0,[ -10.793651    -7.6097302 -179.68756  ],"[2.7280319e-01 1.3150163e-03 1.9048696e-03 5.7356949e-03 6.8597162e-01
 3.2986220e-04 3.1939711e-02]"
extraction/extracted_faces/Laurine4/00000138.jpg,10.0,[ -19.410612    -5.2339253 -179.08241  ],"[1.0385707e-03 1.7352853e-05 3.4666393e-04 3.7401521e-03 1.3095269e-03
 2.3595591e-04 9.9331176e-01]"
extraction/extracted_faces/Laurine4/00000139.jpg,6.0,[ -26.56519    -6.110626 -178.75    ],"[1.2423386e-03 3.5934580e-05 6.1691541e-04 4.3930020e-02 7.0899818e-04
 5.9497787e-04 9.5287073e-01]"
extraction/extracted_faces/Laurine4/0000014.jpg,3.0,[ -19.560368    -2.4891903 -179.62247  ],"[2.4867457e-04 2.9721446e-05 1.9051216e-04 5.6918200e-02 1.5000498e-03
 3.5457686e-04 9.4075829e-01]"
extraction/extracted_faces/Laurine4/00000140.jpg,4.0,[  -8.663186     7.4937406 -179.69957  ],"[1.0936866e-03 1.1950758e-04 1.3192290e-04 8.9855492e-01 4.3540606e-03
 3.3004498e-04 9.5415816e-02]"
extraction/extracted_faces/Laurine4/00000141.jpg,3.0,[  -6.6541348   -8.046469  -179.18063  ],"[9.9849129e-01 4.1314830e-05 1.7586899e-04 4.7603397e-05 9.9716999e-04
 2.5843216e-05 2.2085963e-04]"
extraction/extracted_faces/Laurine4/00000142.jpg,9.0,[ -10.000785    -1.8596652 -179.40637  ],"[7.7745097e-04 1.4440341e-04 3.5281449e-03 2.2818793e-02 1.9712922e-01
 1.1512926e-03 7.7445066e-01]"
extraction/extracted_faces/Laurine4/00000143.jpg,4.2426405,[   0.9952802   -6.036931  -179.03821  ],"[9.7574961e-01 2.0404065e-04 1.3060127e-03 4.2098522e-04 6.7273504e-03
 7.6619053e-04 1.4825876e-02]"
extraction/extracted_faces/Laurine4/00000144.jpg,7.0,[  -1.1874424   -1.6049576 -178.9184   ],"[5.38117392e-03 2.19527559e-04 1.35788135e-02 9.28746085e-05
 9.77259398e-01 2.13732113e-04 3.25446762e-03]"
extraction/extracted_faces/Laurine4/00000145.jpg,6.0,[ -15.528967     4.1546445 -178.63142  ],"[2.9775435e-02 7.0521451e-04 5.3355709e-02 4.1639912e-03 8.6815828e-01
 5.2144902e-04 4.3320011e-02]"
extraction/extracted_faces/Laurine4/00000146.jpg,4.2426405,[ -19.274733     2.3013406 -179.57864  ],"[0.0465973  0.00089789 0.026688   0.00754697 0.84940517 0.0013258
 0.06753887]"
extraction/extracted_faces/Laurine4/00000147.jpg,6.0,[-16.429325   -7.0039816 179.95334  ],"[0.04251757 0.00199139 0.00433745 0.24095535 0.41241476 0.00130557
 0.2964779 ]"
extraction/extracted_faces/Laurine4/00000148.jpg,26.0,[  -5.4037848   -4.6085587 -179.25812  ],"[1.6210821e-02 2.0646080e-04 1.1965797e-03 2.1664222e-04 9.8001146e-01
 1.0748261e-04 2.0505465e-03]"
extraction/extracted_faces/Laurine4/00000149.jpg,7.0,[-1.0747691e+01 -1.2743495e-01 -1.7925113e+02],"[1.16507197e-02 2.23374125e-04 3.21659190e-03 1.13780734e-04
 9.77328420e-01 4.92055493e-04 6.97522843e-03]"
extraction/extracted_faces/Laurine4/0000015.jpg,7.0,[ -26.515568  -11.560747 -176.4625  ],"[7.615751e-04 7.397104e-05 1.505871e-04 4.182618e-01 8.066909e-04
 5.363818e-04 5.794090e-01]"
extraction/extracted_faces/Laurine4/00000150.jpg,7.0,[-1.6233171e+01  1.0013245e-01 -1.7977641e+02],"[3.9823246e-03 3.5673656e-04 8.9888734e-01 7.2623492e-04 6.1729383e-02
 2.7921990e-02 6.3960687e-03]"
extraction/extracted_faces/Laurine4/00000151.jpg,5.0,[ -15.386163    5.474805 -178.58252 ],"[5.3235222e-02 8.8533247e-04 1.0468387e-01 1.2290271e-03 8.3320051e-01
 4.6186196e-04 6.3041565e-03]"
extraction/extracted_faces/Laurine4/00000152.jpg,3.0,[ -20.322668    -1.5459597 -178.51381  ],"[5.3530099e-04 8.2641593e-05 2.4882331e-04 8.3401042e-01 2.7699291e-03
 2.9323867e-04 1.6205959e-01]"
extraction/extracted_faces/Laurine4/00000153.jpg,7.0,[ -19.064754     2.0264316 -179.15114  ],"[1.2088865e-02 9.4737661e-05 3.5019411e-04 3.2444214e-04 9.5562333e-01
 1.2920363e-04 3.1389143e-02]"
extraction/extracted_faces/Laurine4/00000154.jpg,3.0,[ -14.586114    3.184364 -179.28479 ],"[7.8561909e-02 1.0677689e-03 1.0598537e-02 9.9455332e-03 8.5296732e-01
 6.1811024e-04 4.6240885e-02]"
